id,acousticness,danceability,energy,instrumentalness,liveness,loudness,mode,speechiness,tempo,valence
70LcF31zb1H0PyJoS1Sx1r,0.0097,0.515,0.43,0.000133,0.129,-9.935,1,0.0372,91.844,0.104
10nyNJ6zNy2YVYLrcwLccB,0.0577,0.255,0.393,0.00361,0.113,-10.654,1,0.0278,76.426,0.118
2a1iMaoWQ5MnvLFBDv4qkf,0.0724,0.419,0.383,0.0176,0.0896,-11.782,1,0.0256,87.568,0.35
0YJ9FWWHn9EfnN0lHwbzvV,0.108,0.462,0.832,0.00416,0.0741,-6.085,0,0.0479,165.653,0.807
2kRFrWaLWiKq48YYVdGcm8,0.705,0.296,0.463,0.0482,0.0954,-11.412,0,0.0449,123.943,0.0629
63OQupATfueTdZMWTxW03A,0.0638,0.36,0.501,9.32e-05,0.172,-9.129,1,0.0258,74.807,0.324
73CKjW3vsUXRpy3NnX4H7F,0.167,0.463,0.229,0.0997,0.202,-12.592,1,0.0297,73.543,0.135
4wajJ1o7jWIg62YqpkHC7S,0.772,0.531,0.61,0.756,0.0908,-8.025,0,0.0387,152.958,0.199
2rtGaCAeYtmcIvuZsvgTf6,0.316,0.167,0.302,0.797,0.11,-11.644,0,0.0345,102.026,0.19
0z1o5L7HJx562xZSATcIpY,0.224,0.293,0.276,0.122,0.167,-11.357,0,0.0349,121.603,0.195
1dyTcli07c77mtQK3ahUZR,0.000401,0.291,0.767,0.012,0.0763,-6.913,0,0.0862,175.702,0.359
5Qv2Nby1xTr9pQyjkrc94J,0.531,0.67,0.478,0.428,0.138,-8.689,0,0.0355,88.014,0.0997
5h4y42RUKwYKYWgutNwvKP,0.0193,0.614,0.677,0.52,0.108,-8.317,0,0.0323,126.482,0.716
6LgJvl0Xdtc73RJ1mmpotq,0.0377,0.251,0.848,0.00591,0.0545,-6.501,1,0.0579,163.709,0.207
6UO72VSXEONxdfLyABihs9,0.00312,0.289,0.555,0.0496,0.27,-7.434,1,0.0402,158.671,0.306
35YyxFpE0ZTOoqFx5bADW8,0.832,0.516,0.342,0.579,0.0857,-9.785,1,0.0342,128.378,0.167
4xkcGfpM9RwB4IiQ7yx2dB,0.178,0.442,0.717,5.1e-05,0.344,-5.498,0,0.0504,149.582,0.386
2fuYa3Lx06QQJAm0MjztKr,0.000121,0.351,0.676,0.113,0.18,-9.017,1,0.0313,102.46,0.143
5XuU9htN358NTMCcqRvfDV,0.776,0.45,0.359,0.676,0.0753,-13.559,1,0.0289,80.915,0.0776
02ppMPbg1OtEdHgoPqoqju,0.511,0.523,0.656,0.16,0.0679,-7.441,0,0.0262,104.271,0.214
521OhfIeThXJKiTyz0m883,0.091,0.432,0.675,0.287,0.159,-6.702,0,0.0337,137.262,0.184
2CVV8PtUYYsux8XOzWkCP0,0.0484,0.312,0.595,0.00139,0.103,-8.919,1,0.0298,150.502,0.337
0jyikFM0Umv0KlnrOEKtTG,0.0565,0.242,0.859,0.114,0.38,-8.41,1,0.0663,96.917,0.672
48X4D1FYOShPz2VF3YdfCF,0.269,0.708,0.499,0.57,0.101,-9.644,1,0.0297,111.652,0.628
2QeutlLcJf2V1cMUUsDFT1,0.0899,0.721,0.676,0.334,0.0826,-8.78,0,0.032,127.99,0.62
5KZ0qobWEFl892YjIC02SE,0.000945,0.222,0.707,0.00684,0.109,-12.012,1,0.0578,112.663,0.298
55q3Ro66yXWi9rsEddeEN4,0.786,0.12,0.336,0.404,0.111,-8.298,0,0.0352,72.64,0.0679
4mRSbPLnOm54ttkTYvxxSY,0.666,0.557,0.501,0.837,0.117,-10.827,0,0.0269,139.149,0.271
4SrRrB27n7fiRkQcPoKfpk,0.921,0.112,0.13,0.706,0.13,-16.128,1,0.0347,90.835,0.0427
46tfxn5lP7Qsbz7NHsj9iu,0.705,0.365,0.37,7.71e-06,0.0883,-14.134,1,0.0331,103.442,0.42
5HtNvKihacAXt34DDYYxBC,0.0131,0.273,0.473,0.0672,0.0802,-7.614,0,0.0264,149.115,0.141
07XaOyTS5hyaWiUK1Bc3bR,0.938,0.401,0.132,0.102,0.1,-15.569,1,0.0355,136.142,0.0381
7Hg6a7tZsVTkXnBUepjZU6,0.794,0.295,0.15,0.205,0.103,-10.244,0,0.0325,137.504,0.131
1W5XugQJGhnSATMI5n002M,0.0352,0.615,0.931,2.23e-05,0.0915,-7.8,1,0.273,137.544,0.525
3OHevW2cUT176DXWV0lHg9,0.265,0.423,0.675,4.21e-06,0.235,-7.134,1,0.0303,69.27,0.364
7KHQtpLpoIV3Wfu22YQT8y,0.912,0.462,0.407,0.399,0.11,-12.428,0,0.0345,91.915,0.336
5JZ1jTanqLWVuThmZ6XRAc,0.261,0.602,0.735,0.794,0.11,-8.321,0,0.0254,102.895,0.505
1FoUsSi9BCTlNt2Vd7V8XA,0.0496,0.402,0.757,0.846,0.305,-9.931,0,0.0371,157.96,0.573
3cMuGOGSaTWbwOurTS4b3Y,0.277,0.536,0.479,0.0285,0.139,-14.112,0,0.031,88.831,0.504
3DpuYpzkvUWXbmzCm6pfzR,0.303,0.54,0.847,0.272,0.109,-6.52,1,0.0297,148.936,0.62
4Nwrh5BlZ8I31znYQULS7G,0.557,0.252,0.451,0.866,0.108,-8.798,0,0.0278,97.652,0.104
2dDqsUr11Mv0qhXByNfbJx,0.0627,0.298,0.713,0.859,0.142,-7.861,1,0.0352,121.309,0.48
7xztI3ccyUdEYqKYABkMQM,0.00226,0.311,0.546,0.843,0.108,-7.752,1,0.0297,156.64,0.158
1Rd5OVjqDAr5xC96MHt448,0.968,0.214,0.263,0.853,0.126,-13.207,0,0.0336,137.561,0.113
4Wgj6jzoI2gYlumXdYAB8U,0.00237,0.488,0.754,0.851,0.224,-8.552,1,0.0378,91.517,0.388
7tFsUfrmyBvLdvIByreecz,0.797,0.371,0.295,0.552,0.0977,-10.952,0,0.0315,111.914,0.0536
6ttYF5VadzTssGV2i1Q08T,0.841,0.346,0.128,0.76,0.13,-17.536,0,0.0303,58.996,0.0654
135WMJorhiGvPe50XF54D9,0.0632,0.692,0.459,0.512,0.136,-9.461,0,0.0403,150.695,0.35
65Qe2BvSSTOEC9ElDw3JgP,0.847,0.306,0.267,0.305,0.114,-13.797,1,0.0291,160.331,0.168
6GMGuW9ne8D3CvjkJoKJeg,0.946,0.27,0.133,0.000131,0.113,-14.06,0,0.0329,74.908,0.167
7wCmS9TTVUcIhRalDYFgPy,0.0204,0.519,0.441,0.000453,0.076,-14.178,1,0.0353,81.334,0.25
4IvZLDtwBHmBmwgDIUbuwa,0.00772,0.669,0.795,0.0781,0.401,-10.865,1,0.0285,124.594,0.882
16EKGMPGE3f6X3p18CjtkB,0.362,0.73,0.54,0.00334,0.0419,-9.046,0,0.045,109.76,0.977
3NfqN997u9A3YAAafgzhIa,0.00405,0.251,0.575,0.00135,0.15,-7.819,1,0.0311,185.731,0.218
4lSqfVzoGBmBGnBZrSrKOJ,0.0262,0.66,0.417,0.0238,0.0894,-14.317,0,0.0265,105.675,0.352
0p5eZCY0R7uNCZS1YDtIYI,0.00105,0.59,0.372,0.00929,0.316,-12.37,1,0.0318,99.887,0.306
5G2g1EbEtFSMkMbAnhl7FV,0.00299,0.39,0.694,0.304,0.0757,-11.783,1,0.0399,115.197,0.795
1a1Mk18Fh0eba27uRe9fh4,0.00053,0.433,0.88,0.118,0.124,-3.566,1,0.0459,148.965,0.39
0lBO2VOhlNNx879Fjd9XY3,0.00181,0.488,0.634,0.245,0.0819,-12.596,1,0.0329,124.624,0.508
6BT7qiDY4A5tOyklohjQuW,0.00418,0.654,0.39,0.0069,0.271,-10.638,0,0.0307,116.572,0.566
7ERZgMLgpVhrp2D6JYy02t,0.000688,0.63,0.683,0.000689,0.171,-12.795,1,0.0289,115.827,0.955
79f4vUKmk7BieyudO4NxKr,6.55e-05,0.485,0.878,0.0293,0.139,-4.166,0,0.0555,127.017,0.552
2Qq7KN0newkQXwyDuypdOD,0.0343,0.685,0.56,3.23e-05,0.141,-12.842,1,0.0351,110.112,0.633
51Z2IzJvLCnZaIpBV0IYRr,0.000135,0.587,0.811,0.472,0.0901,-10.824,1,0.0328,132.727,0.75
3gBE71E0cl8xRZLj8IJIuP,0.00244,0.441,0.593,0.0125,0.105,-12.515,1,0.0336,125.589,0.904
1awOrbCnB720JvXYCY2Lmg,0.00101,0.608,0.685,0.000516,0.758,-9.938,0,0.0394,106.935,0.448
0Lx2UASwFBWFSzPKBq3d40,0.000404,0.377,0.649,1.79e-05,0.0772,-11.886,1,0.0326,156.545,0.66
7oDDV1cal0M0RIjr4HuuJ9,0.000892,0.658,0.475,0.0194,0.105,-12.688,1,0.033,125.747,0.461
3tt4UgABTgSZUuD01OYcry,5.37e-05,0.413,0.813,0.00558,0.0919,-12.196,1,0.052,124.176,0.729
51qnsjPJ9V9ZNoc2bGKaP3,0.0319,0.346,0.679,7.54e-06,0.194,-11.845,1,0.0574,93.734,0.661
3AIg56DmaxyiLQBzPDv9hI,0.293,0.57,0.457,0.00107,0.0862,-13.178,1,0.0291,103.668,0.749
5cy5IStIn7OSHDEIgXeDyq,0.00015,0.489,0.913,0.709,0.0703,-9.152,0,0.0479,135.756,0.539
0zClrkFd5UQuUFys243KjP,0.0643,0.432,0.643,0.00738,0.361,-10.678,1,0.0398,115.043,0.277
3hzBfTfRIuJhV8UO70h7yZ,0.00213,0.424,0.846,0.846,0.415,-10.408,1,0.0662,145.827,0.378
2uzRCHfNOpf8qW6OHZWeTA,0.00027,0.333,0.818,0.888,0.427,-11.035,1,0.0452,152.713,0.55
4S3XYcZFs6FbsiLwH13Z63,0.401,0.874,0.419,0.051,0.0997,-14.501,0,0.0552,116.206,0.823
6wIflb0fkuq0HTh3d19t4M,0.000404,0.601,0.857,0.209,0.372,-5.678,0,0.0339,127.994,0.41
0ECEzvs4Sy49nYbvEFL3Xw,0.00159,0.393,0.928,0.0757,0.551,-10.563,1,0.0482,161.694,0.738
7sLzEsh00D57eqNnDhySkC,0.000793,0.473,0.757,3.79e-05,0.363,-4.971,1,0.03,95.988,0.635
3tc5tmcnmuZ2xTdHCqhfSe,0.175,0.314,0.846,0.0,0.0972,-10.787,1,0.0524,161.323,0.604
5SIuyYZIVW9WU90puvFG1x,4.28e-05,0.275,0.884,0.0462,0.332,-3.814,0,0.0775,149.923,0.472
7Bd6NXyt0rfaGJmiSfu1VD,0.000305,0.211,0.796,0.00291,0.306,-10.598,0,0.0431,141.281,0.497
6zefZAxPam66k5K1Ft5Mop,0.132,0.54,0.859,0.82,0.348,-5.832,1,0.0322,104.094,0.754
2pvSQWvGZniKgWEJNAOgLU,0.0418,0.373,0.823,0.133,0.101,-11.173,1,0.0391,134.647,0.498
7n1y2CPoIczxvwh5w9EqKa,0.00174,0.657,0.875,0.00159,0.162,-5.079,1,0.056,111.979,0.354
0o80AT7kN2IZAjIS3yW6mf,0.00201,0.675,0.391,0.00292,0.13,-11.897,1,0.0328,113.075,0.767
0QYAApfVaKf0oZB3w5H0bm,0.00154,0.526,0.9,0.0,0.412,-6.254,1,0.0558,134.982,0.55
45uN41QTl8pitqs8f9FhAp,0.0101,0.603,0.62,8.04e-05,0.374,-12.109,1,0.0315,148.305,0.769
3IHAU5AjQIyWHevaEcah3Q,0.000877,0.696,0.675,0.0571,0.122,-5.489,1,0.0261,102.017,0.637
2NOLOmiGsu9vlfyJSIcglu,0.00127,0.406,0.896,0.13,0.102,-9.0,1,0.0635,115.035,0.369
2ce6x2fCzlgI2fnCAGJDUu,8.5e-05,0.509,0.952,0.0239,0.128,-4.666,0,0.0466,140.116,0.654
0WKyfuiS9k92NXs68lXXXL,0.0725,0.516,0.68,4.6e-05,0.201,-10.928,1,0.0339,121.109,0.83
4HNr23mjgOlfEynX5GsNwp,0.000516,0.526,0.755,0.00242,0.105,-5.226,1,0.029,126.19,0.335
4mrgQf8FHrmBRGYHnzOWaI,0.0866,0.539,0.619,0.459,0.137,-8.779,1,0.0294,114.021,0.45
6JSUd8Xqzfiopc31BL6bqL,0.0717,0.484,0.66,0.0,0.0807,-10.049,1,0.0581,121.914,0.544
2nLtzopw4rPReszdYBJU6h,0.00353,0.488,0.87,0.0,0.484,-4.185,0,0.0421,110.072,0.211
60a0Rd6pjrkxjPbaKzXjfq,0.00958,0.556,0.864,0.0,0.209,-5.87,0,0.0584,105.143,0.4
18lR4BzEs7e3qzc0KVkTpU,0.0092,0.627,0.935,0.0,0.147,-4.882,1,0.0324,120.092,0.287
373gDROnujxNTFa1FojYIl,0.00412,0.596,0.798,0.0,0.338,-4.63,1,0.0285,105.01,0.459
4Yf5bqU3NK4kNOypcrLYwU,0.127,0.554,0.98,0.0,0.0833,-3.514,1,0.108,135.12,0.611
3K4HG9evC7dg3N0R9cYqk4,0.0014,0.492,0.969,1.32e-06,0.0787,-4.419,1,0.0491,95.136,0.538
0UFDKFqW2oGspYeYqo9wjA,0.113,0.541,0.969,0.0,0.638,-3.439,1,0.0458,140.119,0.599
5sNESr6pQfIhL3krM8CtZn,0.0603,0.687,0.793,0.0,0.582,-4.254,1,0.166,107.045,0.751
3fjmSxt0PskST13CSdBUFx,0.000386,0.451,0.951,2.56e-06,0.261,-3.754,1,0.0645,162.041,0.441
57BrRMwf9LrcmuOsyGilwr,0.0466,0.58,0.702,3.2e-06,0.536,-5.565,1,0.0337,105.076,0.299
1fLlRApgzxWweF1JTf8yM5,0.00113,0.655,0.886,0.000409,0.0448,-4.116,1,0.0435,100.088,0.938
7oVEtyuv9NBmnytsCIsY5I,0.0143,0.585,0.972,0.0,0.0707,-4.45,0,0.0534,110.006,0.585
