id,artist_name,genres,followers,popularity
4Z8W4fKeB5YxbusRsdQVPb,Radiohead,alternative rock,9864198,78
6zvul52xwTWzilBZl6BUbT,Pixies,alternative rock,2941112,67
6XyY86QOPPrYVGvF9ch6wz,Linkin Park,alternative metal,25366657,83
3nFkdlSjzX9mRTtwJOzDYB,JAY-Z,east coast hip hop,9068320,80
5BtHciL0e0zOP7prIHn3pP,Breaking Benjamin,alternative metal,4564792,68
0kD8IT1CzF7js2XKM9lLLa,STARSET,future rock,947368,61
6jMXENspOIBHOTQNQDTxsW,DIAMANTE,hel,130935,49
01crEa9G3pNpXZ5m7wuHOk,Red,alternative rock,20688473,80
2ye2Wgw4gimLv2eAKyk1NB,Metallica,hard rock,27083724,79
6BrvowZBreEkXzJQMpL174,Hardwell,big room,3615004,65
2M4eNCvV3CJUswavkhAQg2,James Newton Howard,orchestral soundtrack,351311,60
4gzpq5DPGxSnKTe4SA8HAU,Coldplay,permanent wave,50528898,85
69GGBxA162lTqCwzJG5jLp,The Chainsmokers,pop,20107126,79
3qm84nBOXUEQ2vnTfUTTFC,Guns N' Roses,glam metal,30642095,77
165ZgPlLkK7bf5bDoFc6Sb,Limp Bizkit,alternative metal,5950915,73
1dfeR4HaWDbWqFHLkxsg1d,Queen,classic rock,49767123,82
19ra5tSw0tWufvUp8GotLo,George Michael,new wave pop,4770970,70
6mdiAmATAx73kdxrNrnlao,Iron Maiden,alternative metal,8963376,69
36QJpDe2go2KgaRleHCDTp,Led Zeppelin,album rock,14245005,73
6olE6TJLqED3rqDCT0FyPh,Nirvana,grunge,19352635,79
5nGIFgo0shDenQYSE0Sn7c,Evanescence,alternative metal,4433206,70
1kDGbuxWknIKx4FlgWxiSp,Nothing But Thieves,alternative pop rock,1163404,65
4f9iBmdUOhQWeP7dcAn1pf,Rag'n'Bone Man,,13,0
6ZLTlhejhndI4Rh53vYhrY,Ozzy Osbourne,album rock,5452241,68
246dkjvS1zLTtiykXe5h60,Post Malone,dfw rap,43954559,89
77tBvvyd6SD4Y9Um1xcbxP,Lita Ford,album rock,467678,44
3HVdAiMNjYrQIKlOGxoGh5,Rob Zombie,alternative metal,2939184,65
1YfEcTuGvBQ8xSD1f53UnK,Busta Rhymes,east coast hip hop,2721795,68
51Blml2LZPmy7TTiAg47vQ,U2,irish rock,12109743,75
1XkoF8ryArs86LZvFOkbyr,Mary J. Blige,dance pop,3801653,68
2YZyLoL8N0Wb9xBt1NhZWg,Kendrick Lamar,conscious hip hop,29170818,91
69QKcDt724e93ZYkBSjsYP,LMC,oshare kei,43714,28
3o2dn2O0FCVsWDFSh8qxgG,Sabaton,power metal,2105765,69
1E4r4z7ivGUcSAnCbINJ9v,Drowning Pool,alternative metal,2000317,60
502ZZTWlqgS1Ht62ewubEJ,Dead By Sunrise,electronic rock,153293,39
6xBZgSMsnKVmaAxzWEwMSD,Mike Shinoda,alternative hip hop,561244,52
1AZ30JnvQU1pbX6sbRE0Yn,Poets of the Fall,finnish alternative rock,288926,47
0qT79UgT5tY4yudH9VfsdT,Sum 41,alternative metal,3821632,70
0DrXhci3WAyo0WJv1RBOG6,12 Stones,alternative metal,417383,43
6GfiCQDFYANz5wUkSmb3Dr,Thousand Foot Krutch,alternative metal,1331942,63
0fkTQEEyEyH71i9tDhS7CO,Ashes Remain,christian rock,285065,52
00YTqRClk82aMchQQpYMd5,Our Last Night,american metalcore,1110134,60
2VHBlfsJbX4cJwD8PbxA1q,Broken Iris,,17675,27
4pAS4bVhSIcOQeJPKC6xMY,We Are the Emergency,swedish metalcore,5773,20
0Vpec38i5geCuhm1qZNqGl,Parabelle,canadian rock,21386,24
5eAWCfyUhZtHHtBdNk56l1,System Of A Down,alternative metal,10602849,77
3gd8FJtBJtkRxdfbTu19U2,Mumford & Sons,modern folk rock,6378546,68
2PCUhxD40qlMqsKHjTZD2e,Parachute,acoustic pop,640763,45
1t20wYnTiAT0Bs7H1hv9Wt,EDEN,indie poptimism,980945,56
4Lm0pUvmisUHMdoky5ch2I,Apocalyptica,cello,1031361,57
49OM82TTyRy3U8owGgM0iu,Arrows to Athens,pixie,33171,33
2MqhkhX4npxDZ62ObR5ELO,Hoobastank,alternative metal,2484965,63
22bE4uQ6baNwSHPVcDxLCe,The Rolling Stones,album rock,13929993,77
2q3GG88dVwuQPF4FmySr9I,The Score,modern alternative rock,1431585,65
3h9p6ezLoqYJ0viEfqGE4j,Exit Eden,comic metal,77368,37
0zOcE3mg9nS6l3yxt1Y0bK,The Fray,neo mellow,3988608,68
4M1FpEWs2PeYfJe7xxJfhH,Freddie Mercury,glam rock,6921395,55
5M52tdBnJaKSvOpJGz8mfZ,Black Sabbath,album rock,7802232,70
53XhwfbYqKCa1cC15pYq2q,Imagine Dragons,modern rock,52493039,85
0spHbv2fw49lDMkbOAdaqX,WWE,wrestling,552419,63
7Ey4PD4MYsKc5I2dolUwbH,Aerosmith,album rock,14183857,72
6om12Ev5ppgoMy3OYSoech,Halestorm,alternative metal,1436093,60
53A0W3U0s8diEn9RhXQhVz,Keane,neo mellow,3347914,71
76ptJV8617638xrpeoUtzl,The Rasmus,finnish alternative rock,482218,53
7Ln80lUS6He07XvHI8qqHH,Arctic Monkeys,garage rock,24693175,83
4A9xtvezlouTD7H0kyUje9,Twin Atlantic,british alternative rock,150429,39
74XFHRwlV6OrjEM0A2NCMF,Paramore,candy pop,8461072,75
3yY2gUcIsjMr8hjo51PoJ8,The Smiths,madchester,5690218,75
7bu3H8JO7d0UbMoVzbo70s,The Cure,new wave,5404290,72
1ShwUjKIwQRaUJij7jgRhp,The Night Café,english indie rock,114217,35
0k17h0D3J5VfsdmQ1iZtE9,Pink Floyd,album rock,20248556,76
3WaJSfKnzc65VDgmj2zU8B,Interpol,alternative dance,1695769,62
72X6FHxaShda0XeQw3vbeF,Slowdive,alternative rock,1038735,60
3kx1S2P2Qq3a9bG4DGsAjR,A Place To Bury Strangers,american post-punk,100056,32
6XYvaoDGE0VmRt83Jss9Sn,King Gizzard & The Lizard Wizard,australian psych,1138381,59
0q32a3GRCjDxS4EIrC7YVY,The Sword,austin metal,221850,44
56dO9zeHKuU5Gvfc2kxHNw,Chevelle,alternative metal,1839574,61
64tNsm6TnZe2zpcMVMOoHL,Alice In Chains,alternative metal,5033270,69
0L8ExT028jH3ddEcZwqJJ5,Red Hot Chili Peppers,alternative rock,20688473,80
2pqd3HsfsvcBGtHvPOg6eg,Highly Suspect,modern alternative rock,608268,55
2ziB7fzrXBoh1HUPS6sVFn,Audioslave,alternative metal,4457100,65
49DW3KvkyjHO35mK1JnSyS,The Cult,album rock,714655,55
07jc1IMGtecDZzOL9cP50t,Days Of The New,alternative metal,391088,46
6Ghvu1VvMGScGpOUJBAHNH,Deftones,alternative metal,5435476,76
6FKokxvL5PCWIxrVhMyDgI,Demob Happy,brighton indie,58923,38
0qB0cTENhSUc0feov5qbg0,Helmet,alternative metal,308302,47
6rX8AFY10dsJkJsv23Z9Um,Karnivool,alternative metal,207997,43
4DFhHyjvGYa9wxdHUjtDkc,A Perfect Circle,alternative metal,1846604,60
1pRaG81GsVtaTBuVSpldt2,Pop Evil,alternative metal,552956,52
2d0hyoQ5ynDBnkvAbJKORj,Rage Against The Machine,alternative metal,5945106,68
3u4HBuoQ4dgPBzX2Q9uf5S,Red Fang,portland metal,242205,39
5xUf6j4upBrXZPg6AI4MRK,Soundgarden,alternative metal,4365159,65
4tMZahYVKJdjbC1GHVtNnV,Tantric,alternative metal,212943,40
3NChzMpu9exTlNPiqUQ2DE,Thrice,post-hardcore,455479,52
3YQKmKGau1PzlVlkL1iodx,Twenty One Pilots,modern rock,24137092,79
1w5Kfo2jwwIPruYS2UWh56,Pearl Jam,alternative metal,8721665,73
64mPnRMMeudAet0E62ypkx,Primus,alternative metal,1156175,55
7jy3rLJdDQY21OgRLCZ9sD,Foo Fighters,alternative metal,11682485,75
0T7JQxpy1Li93vLNirbv0Z,Mad Season,alternative metal,607184,46
78SHxLdtysAXgywQ4vE0Oa,Bush,alternative metal,1850469,58
1gUch6pcj8OKOw6kKlWAPE,Nico Vega,indie rock,56245,34
4zYQWYmtimAEmI6WWEzGfO,Them Crooked Vultures,alternative metal,577851,50
5sD1ZLf2dGQ9gQ3YJl1eAd,Blind Melon,alternative metal,1190506,57
40Yq4vzPs9VNUrIBG5Jr2i,The Smashing Pumpkins,alternative metal,5035466,69
0YhUSm86okLWldQVwJkLlP,Bad Suns,la indie,482391,52
6FBDaR13swtiWwGhX1WQsP,blink-182,alternative metal,8189730,75
4unllJ7RMbdpBbTELvKwys,Scorpion Child,austin rock,17144,18
1TKaUU8ooBgSW9TlyKsw6k,Fu Manchu,palm desert scene,226048,42
3HCpwNmFp2rvjkdjTs4uxs,Kyuss,alternative metal,475817,46
3KdXhEwbqFHfNfSk7L9E87,Baroness,progressive sludge,264934,41
4pejUc4iciQfgdX6OKulQn,Queens of the Stone Age,alternative metal,3493167,67
0iHb0mCbqZTYeb4y9Pirrd,Temple Of The Dog,alternative metal,1242202,51
2UazAtjfzqBF0Nho2awK4z,Stone Temple Pilots,alternative metal,3474555,64
3RNrq3jvMZxD9ZyoOZbQOD,Korn,alternative metal,7475758,73
3X0a18Q9nluwuFYv5hB5cm,Monolord,doom metal,93310,31
1vrCjYU0zXNXvLobueUTvQ,Mars Red Sky,french stoner rock,59114,34
2KIzxbJeiFf6IpBFn2ZD2S,Samsara Blues Experiment,german hard rock,82924,26
4idYdwYKM9exGep2RkwHcE,My Sleeping Karma,german stoner rock,79156,30
4e5V1Q2dKCzbLVMQ8qbTn6,Collective Soul,alternative rock,1092875,58
7CHilrn81OdYjkh4uSVnYM,Velvet Revolver,alternative metal,1490524,49
6A43Djmhbe9100UwnI7epV,CAKE,alternative rock,1155160,60
7MhMgCo0Bl0Kukl93PZbYS,Blur,alternative rock,3308578,67
3dXaa6jwM7B52GZpaJEIr5,Puddle Of Mudd,alternative metal,2033386,60
62BcWP4fzR8axESibNQEhs,Butthole Surfers,alternative rock,353453,48
0CF71zaDOJWCynIkW9bSK8,White Zombie,alternative metal,1220508,53
0FfuujZJUa7Z2JzhhiPI2z,Kadavar,german hard rock,125851,35
16PcI6JjJuUfPlsX8Ffvfl,Uncle Acid & The Deadbeats,doom metal,187872,42
7peuJpsA6lf6zQsVokZKt9,Danava,portland metal,12979,13
23lyMLxYNPS15hpVvFNptR,Stoned Jesus,stoner metal,130691,32
29Wmfm1CojrjQ3aQP0FI65,All Them Witches,indie rock,300995,47
0zpMEtJmjRr1MKFveLQqeZ,The Heavy Eyes,alternative roots rock,37766,40
7EgAHTw2PMP7a1tAEtue89,1000mods,greek metal,106231,35
241hv7ZoEm7iE2GrHIkLs8,Kagoule,nottingham indie,5511,7
4KH4eOg39KeBpnfSgvIteD,Pretty Vicious,english indie rock,52979,35
2kjn4KcvCR9atreeGcoest,Black Moth,gaian doom,15489,15
0Nrwy16xCPXG8AwkMbcVvo,Black Pistol Fire,alternative roots rock,216674,47
0x7UDEGg5P2hFiaQFHeXPy,Hermano,corrido,174973,67
3Gkit5uLARc6bv3AyYrh5Q,Royal Thunder,gaian doom,35742,23
538ZIoOw6wW1xdjuIaQHOS,Brant Bjork,instrumental stoner rock,108863,38
2Mjr7nb7vY7AQwxGskDlM7,Greenleaf,modern blues rock,58303,35
3c7hgCjTsDwzaKq0E37EmF,Unida,palm desert scene,20612,13
1m0B9ak05G0jqDY4ACLhQu,DOWN,alternative metal,400457,42
6WMKYsHNohUhz4Slk7EvUH,Brutus,belgian indie rock,95806,39
4NpFxQe2UvRCAjto3JqlSl,Greta Van Fleet,modern blues rock,2575432,64
57VFYrmiB0eCM2qXZmV96N,Dozer,sludge metal,59416,38
161AC1AVRkIGIMxyj5djFQ,Clutch,funk metal,554707,51
5UzFfn3lNMWSm4PHCzBDi8,Colour Haze,german stoner rock,93730,29
4hvwEwrCmGj22uURGVET7Q,Monster Magnet,southern metal,233060,43
40dMfiJSBmkMQbf5HNA2nE,Cowboys & Aliens,contemporary country,4271679,71
5L1rOWU3saDGam8QkWPDqO,Electric Mary,deep melodic hard rock,27892,35
7sOR7gk6XUlGnxj3p9F54k,half•alive,alt z,693398,54
14c4jf0F0bJkpR1WumvNXG,Voodoo Six,deep melodic hard rock,8871,8
5X1eZAEqHcO5lYy7tgjw5h,Truckfighters,instrumental stoner rock,130207,34
4Mt6w4tDGiPgV5q6JWPlrI,Sleep,prog metal,1233549,72
0PK6ewFU4DbFB8Eqr58Sct,Acid King,doom metal,94637,32
7kLbjzLVDQ8Gve5cKwHROO,Sweaty Palms,glasgow indie,2102,3
6ekYAO2D1JkI58CF4uRRqw,Tigercub,brighton indie,53001,38
5HUFo8AH9ZILmlyKFfEMNP,Jerry Cantrell,alternative metal,298809,38
5LfGQac0EIXyAN8aUwmNAQ,The Offspring,alternative metal,5528560,74
7oPftvlwr6VrsViSDV7fJY,Green Day,modern rock,14849504,77
4KWTAlx2RvbpseOGMEmROg,R.E.M.,alternative rock,4493236,70
6gZq1Q6bdOxsUPUG1TaFbF,Godsmack,alternative metal,3209670,65
0AI2um3PpFgOj7Yzmk2Xu0,Dead Meadow,modern blues rock,86664,31
1TAcaMoUlvLpTUzh18TzDY,Causa Sui,danish alternative rock,50283,27
692VvGTch5OLXj4zEE6H3y,Radio Moscow,modern blues rock,160432,35
